Name,Nationality,Age,Height(cm),Weight(kg),Overall,Potential,Club,Preferred Foot,W/F,Best Position,Value(Thousand$),IR
L. Krejčí,Czech Republic,21,190,86,71,78,Sparta Praha,Left,1,CB,3000.0,1
I. Kiese Thelin,Sweden,28,189,82,71,71,Malmö FF,Right,1,ST,1000.0,1
J. Cooper,England,25,199,85,71,75,Millwall,Left,1,CB,2000.0,1
G. Alcalá,Mexico,27,179,74,71,74,Querétaro,Right,1,GK,1000.0,1
T. Kalas,Czech Republic,27,183,80,71,74,Bristol City,Right,1,CB,2000.0,1
M. Wittek,Germany,24,173,70,71,75,Vitesse,Left,1,LB,2000.0,1
M. Cuero,Colombia,27,178,83,71,71,Club Atlético Banfield,Right,1,RM,2000.0,1
H. Rodríguez,Mexico,30,184,79,71,71,Santos Laguna,Right,1,CB,1000.0,1
Aitor Sanz,Spain,35,181,71,71,71,CD Tenerife,Right,1,CDM,525.0,1
S. Schonlau,Germany,25,185,77,71,75,SC Paderborn 07,Right,1,CB,2000.0,1
S. Hedlund,Sweden,27,173,66,71,71,Brøndby IF,Right,1,RW,2000.0,1
Fernando,Brazil,21,176,69,71,83,Shakhtar Donetsk,Right,1,CAM,4000.0,1
Adrián Ortolá,Spain,26,187,74,71,74,CD Tenerife,Left,1,GK,1000.0,1
B. Acosta,Honduras,26,173,73,71,72,FC Dallas,Right,1,CM,2000.0,1
B. Islamkhan,Kazakhstan,27,174,64,71,72,Al Ain FC,Right,1,CAM,2000.0,1
A. Flint,England,30,197,83,71,71,Cardiff City,Right,1,CB,1000.0,1
B. Tetteh,Ghana,22,193,91,71,80,Yeni Malatyaspor,Right,1,ST,4000.0,1
Alex Pinto,Portugal,21,187,77,71,79,Farense,Right,1,RB,4000.0,1
M. Kanno,Saudi Arabia,25,191,71,71,76,Al Hilal,Right,1,CDM,2000.0,1
M. Risse,Germany,30,183,75,71,71,Viktoria Köln,Right,2,RM,1000.0,2
Pedro Pereira,Portugal,22,185,72,71,81,Crotone,Right,1,RB,4000.0,1
A. Vindheim,Norway,24,184,78,71,76,Sparta Praha,Right,1,RB,2000.0,1
A. Gomaa,Egypt,24,168,64,71,75,No Club,Left,1,LB,0.0,1
M. Fraisl,Austria,27,187,79,71,73,SV Sandhausen,Right,1,GK,1000.0,1
J. Bottinelli,Argentina,35,180,79,71,71,Rosario Central,Left,1,CB,500.0,1
P. Frankowski,Poland,25,175,68,71,74,Chicago Fire,Right,1,RM,2000.0,1
N. Boilesen,Denmark,28,186,75,71,71,FC København,Left,2,LB,1000.0,2
I. Success,Nigeria,24,182,90,71,77,Watford,Right,1,ST,3000.0,1
K. Günter,Germany,25,184,79,71,76,Hellas Verona,Right,1,CB,2000.0,1
E. Taşdemir,Turkey,24,176,70,71,75,Galatasaray SK,Left,1,LWB,2000.0,1
S. Floccari,Italy,38,180,79,71,71,SPAL,Right,2,ST,650.0,2
Ailton Cardenhas,Brazil,20,193,84,71,71,Santos,Right,1,GK,1000.0,1
A. Eschenko,Russia,36,176,74,71,71,Spartak Moscow,Right,1,RB,425.0,1
Fernando Fonseca,Portugal,23,182,75,71,79,FC Paços de Ferreira,Right,1,RB,4000.0,1
Y. Adli,France,19,186,75,71,81,FC Girondins de Bordeaux,Right,1,CAM,4000.0,1
M. Škoda,Czech Republic,34,190,86,71,71,Çaykur Rizespor,Right,1,ST,900.0,1
J. Kana-Biyik,Cameroon,30,184,86,71,71,Gazişehir Gaziantep F.K.,Right,2,CB,1000.0,2
Fabrício Baiano,Brazil,28,177,72,71,72,Çaykur Rizespor,Right,1,CB,1000.0,1
Wiliam Santinho,Brazil,24,195,91,71,71,Fluminense,Right,1,GK,1000.0,1
F. Vicari,Italy,25,190,80,71,76,SPAL,Right,1,CB,2000.0,1
R. Sigurðsson,Iceland,34,187,77,71,71,FC København,Right,1,CB,600.0,1
V. Koziello,France,24,168,58,71,76,CD Nacional,Right,2,CAM,2000.0,2
J. Álvarez,Argentina,20,170,71,71,84,River Plate,Right,1,CAM,4000.0,1
S. Moreira,France,25,179,75,71,73,Toulouse Football Club,Right,1,CDM,2000.0,1
Aketxe,Spain,26,174,69,71,73,UD Almería,Left,1,CAM,2000.0,1
F. Monetti,Argentina,31,180,76,71,71,San Lorenzo de Almagro,Right,1,GK,1000.0,1
K. Nababkin,Russia,33,184,77,71,71,PFC CSKA Moscow,Right,2,CB,900.0,2
S. Rieks,Denmark,33,185,75,71,71,Malmö FF,Right,1,LM,1000.0,1
M. Stępiński,Poland,25,183,72,71,75,Lecce,Right,1,ST,2000.0,1
K. Misao,Japan,24,181,73,71,75,Kashima Antlers,Right,1,CDM,2000.0,1
M. Pazdan,Poland,32,181,78,71,71,MKE Ankaragücü,Right,2,CB,1000.0,2
C. Ekuban,Ghana,26,182,80,71,73,Trabzonspor,Right,1,ST,2000.0,1
A. Wisdom,England,27,186,78,71,72,Derby County,Right,1,CB,2000.0,1
S. Wamangituka,DR Congo,20,189,79,71,83,VfB Stuttgart,Right,1,ST,4000.0,1
A. Sedlar,Serbia,28,178,79,71,73,RCD Mallorca,Right,1,CB,1000.0,1
I. Nedelcearu,Romania,24,190,79,71,79,AEK Athens,Right,1,CB,3000.0,1
A. Cruz,Mexico,22,173,62,71,80,Club Tijuana,Left,1,LB,4000.0,1
S. Schwab,Austria,29,183,78,71,71,PAOK,Left,1,CDM,1000.0,1
D. Đoković,Croatia,30,190,86,71,71,CFR Cluj,Left,1,CDM,1000.0,1
Juan Cruz,Spain,27,180,79,71,71,CA Osasuna,Left,1,LB,1000.0,1
M. Thiam,Senegal,27,185,79,71,72,Fenerbahçe SK,Right,1,ST,2000.0,1
Son,Spain,26,178,72,71,74,Levante UD,Right,1,RB,2000.0,1
J. Pollersbeck,Germany,25,195,87,71,75,Olympique Lyonnais,Right,1,GK,2000.0,1
Kim In Seong,Korea Republic,30,180,74,71,71,Ulsan Hyundai FC,Right,1,LM,1000.0,1
J. de Wijs,Netherlands,25,189,95,71,74,Hull City,Left,1,CB,2000.0,1
M. Wagué,Mali,29,191,85,71,71,Amiens SC,Right,1,CB,1000.0,1
E. Méndez,Argentina,31,186,82,71,71,Arsenal de Sarandí,Right,1,CDM,1000.0,1
B. Perlaza,Colombia,28,187,83,71,72,Atlético Nacional,Right,1,CB,1000.0,1
F. Gulbrandsen,Norway,27,175,79,71,71,Medipol Başakşehir FK,Right,1,ST,2000.0,1
D. Holmes,United States,25,168,65,71,74,Derby County,Right,1,CAM,2000.0,1
Iza Carcelén,Spain,27,174,70,71,72,Cádiz CF,Right,1,RB,2000.0,1
E. Nketiah,England,21,175,72,71,83,Arsenal,Right,1,ST,4000.0,1
Dentinho,Brazil,31,176,79,71,71,Shakhtar Donetsk,Right,1,CAM,1000.0,1
Adrián González,Spain,32,183,78,71,71,Real Zaragoza,Left,1,CM,1000.0,1
P. Seguin,Germany,25,186,79,71,75,SpVgg Greuther Fürth,Right,1,CDM,2000.0,1
Ju Se Jong,Korea Republic,29,176,68,71,71,FC Seoul,Right,1,CM,1000.0,1
Wagner Orsinho,Brazil,20,176,69,71,71,Fluminense,Left,1,LB,1000.0,1
J. Elías,Argentina,24,175,69,71,78,Godoy Cruz,Right,1,CDM,3000.0,1
F. Formiliano,Uruguay,27,185,85,71,73,Peñarol,Right,1,CB,2000.0,1
M. Stiepermann,Germany,29,190,86,71,71,Norwich City,Left,1,CM,1000.0,1
J. Fulton,Scotland,26,182,78,71,75,Swansea City,Right,1,CDM,2000.0,1
R. Neustädter,Russia,32,188,81,71,71,No Club,Right,2,CDM,0.0,2
G. Blanco Leschuk,Argentina,28,192,89,71,71,Real Oviedo,Right,1,ST,1000.0,1
E. Papa,Argentina,38,169,67,71,71,Arsenal de Sarandí,Left,1,LB,425.0,1
L. Pocrnjic,Argentina,38,192,86,71,71,Club Atlético Aldosivi,Right,1,GK,210.0,1
J. Cristaldo,Argentina,31,174,73,71,71,Racing Club,Right,1,ST,1000.0,1
J. Schieber,Germany,31,186,83,71,71,FC Augsburg,Left,2,ST,1000.0,2
Botía,Spain,31,189,87,71,71,Al Wehda,Right,1,CB,1000.0,1
L. Mendoza,Mexico,30,172,75,71,71,Mazatlán FC,Right,1,RM,1000.0,1
D. Warmerdam,Netherlands,24,180,66,71,75,FC Utrecht,Left,1,LB,2000.0,1
S. Davis,Northern Ireland,35,173,70,71,71,Rangers FC,Right,2,CM,750.0,2
A. Koné,Ivory Coast,36,181,78,71,71,Sivasspor,Right,2,ST,650.0,2
P. Chavarría,Argentina,32,185,80,71,71,Málaga CF,Right,1,ST,1000.0,1
N. Baker,England,29,189,82,71,71,Bristol City,Left,1,CB,1000.0,1
A. Paleari,Italy,27,193,88,71,73,Genoa,Right,1,GK,1000.0,1
A. Tanaka,Japan,21,177,69,71,77,Kawasaki Frontale,Right,1,CDM,2000.0,1
Bremer,Brazil,23,188,80,71,80,Torino,Right,1,CB,3000.0,1
T. Kongolo,Netherlands,26,188,70,71,74,Huddersfield Town,Left,2,CB,2000.0,2
J. Frimpong,Netherlands,19,175,70,71,86,Celtic,Right,1,RM,4000.0,1
F. Márquez,Argentina,32,184,86,71,71,Unión de Santa Fe,Right,1,ST,1000.0,1
F. Viáfara,Colombia,28,167,65,71,71,Junior FC,Right,1,RB,1000.0,1
D. Viera,Paraguay,29,186,83,71,71,Club Libertad,Right,1,CB,1000.0,1
K. Hansen,Denmark,31,184,74,71,71,FC Nordsjælland,Right,1,CB,1000.0,1
João Carvalho,Portugal,23,172,66,71,80,UD Almería,Right,1,CAM,4000.0,1
J. Börner,Germany,29,188,86,71,72,Sheffield Wednesday,Left,1,CB,1000.0,1
J. Ebobisse,United States,23,183,79,71,80,Portland Timbers,Left,1,ST,4000.0,1
David Costas,Spain,25,184,79,71,76,RC Celta,Right,1,CB,2000.0,1
W. Trapp,United States,27,173,68,71,72,Inter Miami,Right,1,CDM,1000.0,1
O. Rivero,Uruguay,28,185,83,71,71,Santos Laguna,Right,1,ST,1000.0,1
R. Aït Nouri,France,19,179,70,71,86,Wolverhampton Wanderers,Left,1,LB,4000.0,1
K. McDonald,Scotland,31,193,96,71,71,Fulham,Right,1,CDM,1000.0,1
L. Pernica,Czech Republic,30,188,86,71,71,Viktoria Plzeň,Right,1,CB,1000.0,1
Gonçalo Silva,Portugal,29,186,79,71,72,Os Belenenses,Right,1,CB,1000.0,1
Amilton,Brazil,30,172,66,71,71,Antalyaspor,Right,1,RM,1000.0,1
Camacho,Portugal,26,171,66,71,72,CD Nacional,Right,1,LW,2000.0,1
E. Zukanović,Bosnia Herzegovina,33,190,85,71,71,Fatih Karagümrük S.K.,Left,2,CB,900.0,2
S. Romagnoli,Italy,30,193,85,71,71,Empoli,Right,1,CB,1000.0,1
Rubén Castro,Spain,39,169,68,71,71,FC Cartagena,Right,2,CF,650.0,2
J. Plata,Ecuador,28,157,71,71,71,Deportivo Toluca,Right,1,LW,1000.0,1
E. Berg,Sweden,31,192,89,71,71,Djurgårdens IF,Right,1,CB,1000.0,1
T. Wellenreuther,Germany,24,186,80,71,75,RSC Anderlecht,Right,1,GK,2000.0,1
A. Calabresi,Italy,24,186,75,71,76,Bologna,Right,1,CB,2000.0,1
Edsinho Torres,Brazil,24,178,77,71,71,Atlético Clube Goianiense,Right,1,LB,2000.0,1
Léo Duarte,Brazil,23,183,76,71,80,Milan,Right,1,CB,3000.0,1
D. McCarty,United States,33,175,68,71,71,Nashville SC,Right,1,CDM,925.0,1
T. Belmonte,Argentina,22,178,68,71,82,Club Atlético Lanús,Right,1,CB,4000.0,1
L. Kozák,Czech Republic,31,193,88,71,71,Sparta Praha,Right,1,ST,1000.0,1
Zhang Linpeng,China PR,31,185,80,71,71,Guangzhou Evergrande Taobao FC,Right,1,RB,1000.0,1
J. Reina,Colombia,31,173,70,71,71,Independiente Medellín,Left,1,CAM,1000.0,1
S. Juklerød,Norway,26,186,80,71,73,Royal Antwerp FC,Left,1,LM,2000.0,1
David Carmo,Portugal,20,196,89,71,83,SC Braga,Left,1,CB,4000.0,1
Lucas Piazón,Brazil,26,182,73,71,72,Rio Ave FC,Right,1,CAM,2000.0,1
S. Hakšabanovič,Montenegro,21,173,74,71,81,IFK Norrköping,Right,1,CAM,4000.0,1
J. Sandoval,Uruguay,33,181,72,71,71,Argentinos Juniors,Right,1,RB,975.0,1
Fran Gámez,Spain,28,174,71,71,71,RCD Mallorca,Right,1,RB,1000.0,1
Jairo,Spain,26,173,69,71,71,Málaga CF,Right,2,LM,2000.0,2
K. Świderski,Poland,23,184,78,71,76,PAOK,Left,1,ST,2000.0,1
D. Lischka,Czech Republic,22,188,88,71,79,Sparta Praha,Left,1,CB,3000.0,1
Diego Farías,Brazil,30,173,66,71,71,Spezia,Right,1,RW,1000.0,1
J. Van Damme,Belgium,28,193,82,71,71,KV Mechelen,Left,1,CDM,1000.0,1
B. Cortés,Chile,25,185,79,71,77,Colo-Colo,Right,1,GK,2000.0,1
A. Walke,Germany,37,189,88,71,71,FC Red Bull Salzburg,Right,1,GK,210.0,1
B. Ramselaar,Netherlands,24,178,74,71,76,FC Utrecht,Right,1,RM,2000.0,1
D. Fettouhi,Morocco,30,182,74,71,71,Al Ahli,Left,1,CAM,1000.0,1
Dani Calvo,Spain,26,190,82,71,75,Elche CF,Right,1,CB,2000.0,1
E. Lamanna,Italy,30,187,80,71,71,AC Monza,Right,1,GK,1000.0,1
K. Harris,England,27,175,68,71,71,Sheffield Wednesday,Right,1,LW,2000.0,1
K. Kusk,Denmark,28,180,67,71,71,Aalborg BK,Left,1,RW,1000.0,1
F. Mattiello,Italy,24,184,70,71,73,Spezia,Left,1,LM,2000.0,1
Álvaro Lemos,Spain,27,175,78,71,72,UD Las Palmas,Right,1,RB,2000.0,1
J. Toledo,Argentina,34,190,89,71,71,Atlético Tucumán,Left,1,ST,900.0,1
Ângelo Neto,Brazil,28,181,75,71,71,Al Fayha,Right,1,CDM,1000.0,1
Daguinho Parrela,Brazil,24,185,81,71,71,Internacional,Right,1,RB,2000.0,1
F. Jungwirth,Germany,31,181,80,71,71,San Jose Earthquakes,Right,1,CB,1000.0,1
M. Dupé,France,27,186,85,71,73,Toulouse Football Club,Right,1,GK,1000.0,1
Fabiano,Brazil,28,188,80,71,71,Denizlispor,Right,1,CB,1000.0,1
A. Hayashi,Japan,33,195,93,71,71,FC Tokyo,Right,1,GK,600.0,1
M. Busch,Germany,25,182,80,71,75,1. FC Heidenheim 1846,Right,1,RB,2000.0,1
C. Zimmermann,Germany,27,194,92,71,73,Norwich City,Right,1,CB,2000.0,1
G. Lajud,Mexico,26,189,84,71,75,Santos Laguna,Right,1,GK,2000.0,1
F. Rodríguez,Mexico,31,184,80,71,71,Atlético de San Luis,Right,1,GK,1000.0,1
A. Szalai,Hungary,32,193,93,71,71,1. FSV Mainz 05,Right,2,ST,1000.0,2
M. Bettinelli,England,28,194,82,71,73,Middlesbrough,Right,1,GK,1000.0,1
A. Ćorić,Croatia,23,177,74,71,80,VVV-Venlo,Right,1,CAM,4000.0,1
A. Godoy,Panama,30,183,82,71,71,Nashville SC,Left,1,CDM,1000.0,1
B. Gibson,England,27,185,78,71,73,Norwich City,Left,1,CB,2000.0,1
Q. Bernard,France,30,183,81,71,71,AJ Auxerre,Left,1,LB,1000.0,1
K. Acosta,United States,24,178,68,71,77,Colorado Rapids,Right,1,RM,2000.0,1
O. Etebo,Nigeria,24,176,70,71,78,Galatasaray SK,Right,1,CDM,3000.0,1
M. Pigliacelli,Italy,27,184,80,71,75,Universitatea Craiova,Right,1,GK,2000.0,1
J. Dezi,Italy,28,178,68,71,71,Parma,Right,1,CM,1000.0,1
R. Framberger,Germany,24,179,73,71,76,FC Augsburg,Right,1,RB,2000.0,1
Wang Dalei,China PR,31,187,91,71,71,Shandong Luneng TaiShan FC,Right,1,GK,1000.0,1
P. Diop,Spain,22,180,68,71,80,Dijon FCO,Right,1,CAM,4000.0,1
K. Thuram,France,19,192,81,71,82,OGC Nice,Right,1,CDM,3000.0,1
O. Karafiát,Czech Republic,25,182,74,71,77,SK Slavia Praha,Right,1,CDM,2000.0,1
A. Bjelland,Denmark,31,188,85,71,71,FC København,Left,1,CB,1000.0,1
V. Angban,Ivory Coast,23,180,75,71,78,FC Metz,Right,1,CM,3000.0,1
O. Trejo,Argentina,32,180,79,71,71,Rayo Vallecano,Right,1,CAM,1000.0,1
P. Tsintotas,Greece,26,192,90,71,74,AEK Athens,Right,1,GK,1000.0,1
K. Naughton,England,31,180,73,71,71,Swansea City,Right,2,RB,1000.0,2
C. Townsend,England,27,183,73,71,72,West Bromwich Albion,Left,1,LB,2000.0,1
A. Wilkinson,Australia,35,187,85,71,71,Sydney FC,Right,1,CB,500.0,1
A. Romero,Peru,29,183,73,71,71,Deportivo Binacional,Right,1,CM,1000.0,1
D. Luckassen,Netherlands,24,186,78,71,75,RSC Anderlecht,Right,1,CB,2000.0,1
H. Evjen,Norway,20,173,65,71,82,AZ Alkmaar,Left,1,LM,4000.0,1
F. Peluso,Italy,36,188,82,71,71,Sassuolo,Left,2,CB,325.0,2
W. Ángel,Venezuela,27,188,84,71,73,No Club,Right,1,CB,0.0,1
Eduardo Henrique,Brazil,25,186,76,71,76,Crotone,Right,1,CAM,2000.0,1
B. Douglas,Scotland,30,177,70,71,71,Leeds United,Left,1,LB,1000.0,1
N. Rusyn,Ukraine,21,177,68,71,79,Dynamo Kyiv,Right,1,ST,4000.0,1
K. Molino,Trinidad & Tobago,30,173,70,71,71,Minnesota United FC,Right,1,CF,1000.0,1
Fali,Spain,26,186,84,71,74,Cádiz CF,Right,1,CB,2000.0,1
C. Manea,Romania,22,183,77,71,80,CFR Cluj,Right,1,RB,4000.0,1
U. Rivas,Mexico,24,179,71,71,77,Santos Laguna,Right,1,CDM,2000.0,1
Corpas,Spain,28,178,72,71,71,UD Almería,Right,1,RM,1000.0,1
D. Heuer Fernandes,Portugal,27,188,81,71,74,Hamburger SV,Right,1,GK,1000.0,1
Y. Shakhov,Ukraine,29,189,81,71,71,AEK Athens,Right,1,CAM,1000.0,1
R. Grant,Australia,29,174,74,71,71,Sydney FC,Right,1,RB,1000.0,1
C. Monschein,Austria,27,178,74,71,72,FK Austria Wien,Right,1,ST,2000.0,1
Kalindi,Brazil,26,170,63,71,72,CD Nacional,Right,1,RB,2000.0,1
A. Murgia,Italy,23,185,78,71,77,SPAL,Right,1,CM,2000.0,1
M. Gibbs-White,England,20,178,70,71,83,Swansea City,Right,1,CAM,4000.0,1
D. Kownacki,Poland,23,186,75,71,78,Fortuna Düsseldorf,Right,1,ST,3000.0,1
H. Faik,Netherlands,28,189,82,71,71,Al Faisaly,Left,1,CM,1000.0,1
E. Insúa,Argentina,31,180,79,71,71,LA Galaxy,Left,2,LB,1000.0,2
A. Tetteh,Ghana,30,186,88,71,71,Gazişehir Gaziantep F.K.,Right,1,CDM,1000.0,1
I. Brown,England,23,182,70,71,78,Sheffield Wednesday,Right,1,CAM,3000.0,1
J. Insaurralde,Argentina,35,187,87,71,71,Colo-Colo,Left,1,CB,500.0,1
Sin Jin Ho,Korea Republic,31,177,72,71,71,Ulsan Hyundai FC,Right,1,CM,1000.0,1
K. Rezaei,Iran,28,185,79,71,71,Sporting de Charleroi,Right,1,ST,1000.0,1
F. Aursnes,Norway,24,179,71,71,75,Molde FK,Right,1,RWB,2000.0,1
B. Gilmour,Scotland,19,170,66,71,86,Chelsea,Right,1,CM,4000.0,1
M. Leovac,Croatia,31,180,71,71,71,Dinamo Zagreb,Left,1,LB,1000.0,1
R. Baca,Mexico,30,173,66,71,71,Cruz Azul,Right,1,CM,1000.0,1
F. Belluschi,Argentina,36,173,78,71,71,Club Atlético Lanús,Right,2,CAM,600.0,2
S. Doukara,France,28,186,85,71,71,Ettifaq FC,Right,1,ST,1000.0,1
Y. Cahuzac,France,35,178,72,71,71,Racing Club de Lens,Right,1,CDM,525.0,1
B. Schmitz,Germany,25,182,75,71,74,1. FC Köln,Right,1,RB,2000.0,1
J. Siebenhandl,Austria,30,183,81,71,71,SK Sturm Graz,Left,1,GK,1000.0,1
A. Tettey,Norway,34,180,68,71,71,Norwich City,Right,1,CDM,650.0,1
M. Alaa,Egypt,29,189,87,71,71,No Club,Right,1,CB,0.0,1
M. Männel,Germany,32,183,80,71,71,FC Erzgebirge Aue,Right,1,GK,925.0,1
D. Bisoli,Italy,26,180,75,71,73,Brescia,Right,1,CAM,2000.0,1
J. Une Larsson,Sweden,26,181,74,71,74,Djurgårdens IF,Right,1,CB,2000.0,1
M. Higashiguchi,Japan,34,184,78,71,71,Gamba Osaka,Right,1,GK,325.0,1
Eduardo Fonseira,Brazil,20,191,87,71,71,Botafogo,Right,1,GK,1000.0,1
R. Mirzov,Russia,27,179,75,71,71,Spartak Moscow,Right,1,LM,2000.0,1
Cicinho,Bulgaria,31,168,65,71,71,No Club,Right,1,RB,0.0,1
W. Kanon,Ivory Coast,26,188,85,71,73,No Club,Left,1,CB,0.0,1
Li Xuepeng,China PR,31,185,75,71,71,Guangzhou Evergrande Taobao FC,Left,1,LB,1000.0,1
J. Dompé,France,24,170,65,71,74,SV Zulte-Waregem,Right,1,RM,2000.0,1
M. Frydrych,Czech Republic,30,188,83,71,71,Wisła Kraków,Right,1,CB,1000.0,1
P. González,Mexico,27,172,70,71,71,Puebla FC,Right,1,CM,2000.0,1
F. Hadergjonaj,Kosovo,25,183,73,71,74,Kasimpaşa SK,Right,1,RWB,2000.0,1
G. Taylor,Scotland,22,175,68,71,79,Celtic,Left,1,LWB,4000.0,1
Rafa Mir,Spain,23,191,87,71,78,SD Huesca,Right,1,ST,3000.0,1
M. Romeo,Antigua & Barbuda,24,178,73,71,76,Millwall,Right,1,RWB,2000.0,1
R. Holzhauser,Austria,27,193,84,71,72,Beerschot AC,Left,1,CM,2000.0,1
H. Kiyotake,Japan,30,172,66,71,71,Cerezo Osaka,Right,2,LM,1000.0,2
S. Muroya,Japan,26,176,70,71,73,Hannover 96,Right,1,RWB,2000.0,1
A. Weimann,Austria,28,178,76,71,71,Bristol City,Right,1,ST,1000.0,1
M. Schnatterer,Germany,34,180,75,71,71,1. FC Heidenheim 1846,Right,1,RM,875.0,1
R. Rojas,Paraguay,32,180,77,71,71,Olimpia Asunción,Right,1,CM,1000.0,1
F. Tănase,Romania,25,185,71,71,75,FCSB (Steaua),Right,1,RM,2000.0,1
Patrick William,Brazil,23,186,82,71,79,Famalicão,Right,1,CB,3000.0,1
C. De Norre,Belgium,23,175,75,71,77,Oud-Heverlee Leuven,Right,1,RWB,2000.0,1
L. Takács,Czech Republic,23,190,84,71,75,SK Slavia Praha,Right,1,CB,2000.0,1
Riesgo,Spain,36,185,78,71,71,CD Leganés,Right,1,GK,210.0,1
J. Intriago,Ecuador,24,175,69,71,78,FC Juárez,Right,1,CDM,3000.0,1
R. Woods,England,26,173,70,71,76,Millwall,Right,1,CM,2000.0,1
M. Fernández,Argentina,31,169,67,71,71,FC Juárez,Right,1,RM,1000.0,1
O. Oularé,Belgium,24,196,104,71,75,Standard de Liège,Right,1,ST,2000.0,1
C. Mavinga,DR Congo,29,185,78,71,71,Toronto FC,Left,1,CB,1000.0,1
T. Parker,United States,27,188,88,71,73,New York Red Bulls,Right,1,CB,2000.0,1
Felipe Silva,Brazil,27,193,90,71,72,GwangJu FC,Left,1,ST,2000.0,1
P. Terracciano,Italy,30,193,78,71,72,Fiorentina,Right,1,GK,1000.0,1
N. Orsini,Argentina,25,187,80,71,74,Club Atlético Lanús,Right,1,ST,2000.0,1
J. Deza,Peru,27,180,71,71,71,Deportivo Binacional,Right,1,RW,2000.0,1
A. Badri,Tunisia,29,178,70,71,71,Al Ittihad,Right,1,RW,1000.0,1
Alexandre Frandeira,Brazil,20,192,85,71,71,Atlético Clube Goianiense,Right,1,CB,1000.0,1
M. Valenzuela,Argentina,21,168,66,70,76,Columbus Crew SC,Left,1,LB,2000.0,1
L. Manyama,South Africa,29,181,75,70,70,Kaizer Chiefs,Left,1,ST,1000.0,1
G. Þórarinsson,Iceland,28,183,75,70,70,New York City FC,Left,1,LWB,1000.0,1
Tobias Figueiredo,Portugal,26,188,84,70,74,Nottingham Forest,Right,1,CB,2000.0,1
M. Bjørnbak,Norway,28,193,90,70,71,Molde FK,Right,1,CB,1000.0,1
A. Preciado,Ecuador,25,181,72,70,71,Santos Laguna,Left,1,ST,1000.0,1
Santi Comesaña,Spain,23,184,73,70,76,Rayo Vallecano,Right,1,CDM,2000.0,1
R. Riou,France,32,189,81,70,70,Stade Malherbe Caen,Right,2,GK,800.0,2
Lucas,Brazil,27,193,89,70,72,FC Luzern,Right,1,CB,1000.0,1
B. Riveros,Paraguay,22,178,70,70,80,Brøndby IF,Left,1,LWB,3000.0,1
J. Bijol,Slovenia,21,190,85,70,81,Hannover 96,Right,1,CB,3000.0,1
A. Kamara,France,25,177,81,70,73,Fulham,Right,1,ST,2000.0,1
R. Gauld,Scotland,24,169,61,70,75,Farense,Left,1,CAM,2000.0,1
M. Michel,France,28,189,85,70,72,Chamois Niortais Football Club,Right,1,GK,1000.0,1
Akapo,Equatorial Guinea,27,179,70,70,71,Cádiz CF,Right,1,RB,1000.0,1
Leandro Pereira,Brazil,28,190,76,70,70,Sanfrecce Hiroshima,Right,1,ST,1000.0,1
E. Zelaya,Argentina,32,186,75,70,70,Damac FC,Right,1,ST,1000.0,1
A. Mendy,France,26,185,84,70,72,Stade Malherbe Caen,Right,1,ST,2000.0,1
F. Kurto,Poland,29,191,82,70,72,Western United FC,Right,1,GK,1000.0,1
A. Witry,Norway,24,178,76,70,76,Djurgårdens IF,Right,1,RWB,2000.0,1
M. Torrén,Argentina,31,174,70,70,70,Argentinos Juniors,Right,1,CB,1000.0,1
C. Tarragona,Argentina,29,180,77,70,70,Vélez Sarsfield,Right,1,ST,1000.0,1
D. John,Wales,25,178,75,70,74,Swansea City,Left,1,LWB,2000.0,1
J. Schunke,Argentina,33,193,86,70,70,Club Atlético Aldosivi,Right,1,CB,750.0,1
Vítor Angulho,Brazil,24,182,77,70,70,Ceará Sporting Club,Right,1,GK,1000.0,1
E. Fernandes,Switzerland,24,187,77,70,75,1. FSV Mainz 05,Right,1,CDM,2000.0,1
P. Gerkens,Belgium,25,179,67,70,73,Royal Antwerp FC,Right,1,ST,2000.0,1
E. Lombardo,France,23,174,69,70,79,RCD Mallorca,Right,1,RM,3000.0,1
A. Sepúlveda,Mexico,29,180,75,70,70,Querétaro,Right,1,ST,1000.0,1
B. Fernández,Argentina,25,175,70,70,72,Club Atlético Colón,Right,1,CAM,2000.0,1
N. Baumann,Switzerland,24,192,83,70,78,FC Lugano,Right,1,GK,3000.0,1
D. Schmidt,Japan,28,196,90,70,72,Sint-Truidense VV,Right,1,GK,1000.0,1
Juanma,Spain,37,186,80,70,70,CF Fuenlabrada,Left,1,CB,275.0,1
Sergi Canós,Spain,23,175,75,70,76,Brentford,Right,1,CAM,2000.0,1
Koke Vegas,Spain,24,188,88,70,76,Levante UD,Right,1,GK,2000.0,1
D. Orgill,Jamaica,30,183,81,70,70,Antalyaspor,Right,1,ST,1000.0,1
Alcalá,Spain,31,196,93,70,70,Cádiz CF,Right,1,CB,1000.0,1
I. Zlobin,Russia,23,191,84,70,80,Famalicão,Right,1,GK,3000.0,1
K. Nagato,Japan,25,173,73,70,72,Kashima Antlers,Left,1,LB,1000.0,1
M. Steinmann,Germany,25,188,80,70,72,Wellington Phoenix,Right,1,CDM,1000.0,1
Z. Kožulj,Bosnia Herzegovina,26,180,78,70,71,Gazişehir Gaziantep F.K.,Right,1,CAM,1000.0,1
Gabrielzinho,Brazil,24,171,64,70,76,Rio Ave FC,Right,1,RM,2000.0,1
G. Friend,England,32,188,83,70,70,Birmingham City,Left,1,CB,1000.0,1
